sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
21,0.011444,0.000033,0.000003,0.055146,0.000328,0.000004,0.000237,0.067197,0
9,0.024657,0.000124,0.000017,0.211917,0.000459,0.000009,0.003687,0.240878,0
8,0.022596,0.000057,0.000005,0.168650,0.000487,0.000009,0.021795,0.213610,0
9,0.018403,0.000062,0.000009,0.043558,0.000538,0.000011,0.003251,0.065839,0
25,0.012306,0.000038,0.000003,0.062513,0.000282,0.000004,0.000176,0.075325,0
9,0.022584,0.000056,0.000006,0.017285,0.000411,0.000007,0.000476,0.040832,0
9,0.017659,0.000048,0.000004,0.012037,0.000473,0.000007,0.017297,0.047536,0
11,0.023755,0.000089,0.000011,0.199409,0.000822,0.000019,0.004150,0.228266,0
22,0.019574,0.000047,0.000004,0.055564,0.000291,0.000004,0.000241,0.075728,0
8,0.015904,0.000044,0.000006,0.130566,0.000430,0.000006,0.000303,0.147262,0
23,0.010190,0.000036,0.000003,0.010253,0.000281,0.000005,0.000292,0.021061,0
26,0.008566,0.000031,0.000004,0.054369,0.000252,0.000004,0.000153,0.063380,0
11,0.031170,0.000060,0.000006,0.174149,0.000675,0.000034,0.005122,0.211228,0
9,0.013337,0.000050,0.000007,0.215528,0.000507,0.000008,0.023517,0.252965,0
9,0.016868,0.000050,0.000006,0.031800,0.000408,0.000005,0.000275,0.049415,0
10,0.026231,0.000051,0.000005,0.202812,0.000557,0.000012,0.003015,0.232693,0
10,0.014843,0.000051,0.000005,0.207585,0.000462,0.000009,0.002162,0.225125,0
10,0.022571,0.000064,0.000007,0.176621,0.000501,0.000013,0.000431,0.200214,0
8,0.017232,0.000053,0.000006,0.193903,0.000459,0.000009,0.008162,0.219834,0
24,0.019432,0.000054,0.000005,0.041992,0.000310,0.000004,0.000293,0.062093,0
10,0.011789,0.000049,0.000008,0.013932,0.000371,0.000005,0.000282,0.026438,0
10,0.009866,0.000046,0.000005,0.099709,0.000369,0.000004,0.016887,0.126896,0
27,0.016032,0.000036,0.000003,0.055106,0.000315,0.000004,0.000171,0.071670,0
11,0.016359,0.000047,0.000006,0.017781,0.000458,0.000009,0.002151,0.036822,0
28,0.010100,0.000035,0.000004,0.009010,0.000320,0.000004,0.000192,0.019668,0
10,0.013690,0.000048,0.000006,0.148940,0.009148,0.000027,0.000627,0.172496,0
10,0.027157,0.000067,0.000007,0.190146,0.000461,0.000008,0.002687,0.220541,0
10,0.026737,0.000050,0.000005,0.188486,0.000522,0.000011,0.003847,0.219668,0
9,0.018789,0.000053,0.000006,0.167634,0.008816,0.000011,0.016225,0.211543,0
25,0.010018,0.000031,0.000003,0.062228,0.000379,0.000004,0.000253,0.072919,0
12,0.021169,0.000071,0.000005,0.176594,0.000933,0.000026,0.003553,0.202360,0
29,0.018186,0.000050,0.000005,0.057492,0.000332,0.000004,0.000181,0.076252,0
11,0.012339,0.000044,0.000008,0.107047,0.000389,0.000004,0.000306,0.120140,0
10,0.012900,0.000056,0.000011,0.243872,0.000501,0.000009,0.002793,0.260150,0
26,0.011911,0.000036,0.000003,0.050137,0.000286,0.000005,0.000237,0.062616,0
10,0.019497,0.000066,0.000005,0.036052,0.000464,0.000009,0.015783,0.071881,0
12,0.026122,0.000053,0.000006,0.193199,0.000709,0.000015,0.003845,0.223957,0
11,0.016253,0.000057,0.000007,0.170115,0.000520,0.000008,0.000354,0.187320,0
10,0.016491,0.000104,0.000013,0.189361,0.000437,0.000006,0.018068,0.224494,0
11,0.016369,0.000053,0.000006,0.183385,0.000667,0.000019,0.005052,0.205560,0
30,0.011626,0.000034,0.000003,0.065657,0.000444,0.000004,0.000203,0.077976,0
11,0.028574,0.000058,0.000010,0.037178,0.000521,0.000008,0.002924,0.069285,0
11,0.017502,0.000057,0.000007,0.159447,0.000459,0.000007,0.021910,0.199400,0
12,0.013785,0.000057,0.000004,0.175346,0.000494,0.000006,0.002264,0.191967,0
27,0.020368,0.000046,0.000004,0.053797,0.000298,0.000004,0.000229,0.074750,0
9,0.018596,0.000057,0.000006,0.212247,0.000516,0.000012,0.008538,0.239985,0
12,0.022422,0.000058,0.000006,0.039906,0.000501,0.000010,0.003163,0.066075,0
11,0.016541,0.000054,0.000007,0.185700,0.001079,0.000013,0.000978,0.204383,0
31,0.013903,0.000052,0.000004,0.053655,0.000283,0.000004,0.000189,0.068094,0
11,0.018939,0.000053,0.000006,0.179930,0.000549,0.000009,0.004142,0.203641,0
12,0.023031,0.000041,0.000007,0.118570,0.000409,0.000005,0.000307,0.142373,0
28,0.010539,0.000032,0.000003,0.047480,0.000301,0.000004,0.000241,0.058603,0
13,0.017539,0.000050,0.000005,0.046226,0.000527,0.000009,0.002405,0.066771,0
11,0.021007,0.000068,0.000007,0.212037,0.000601,0.000011,0.003753,0.237494,0
32,0.010761,0.000036,0.000003,0.024176,0.000316,0.000006,0.000192,0.035492,0
13,0.016742,0.000055,0.000005,0.188739,0.000471,0.000010,0.002429,0.208462,0
12,0.024382,0.000066,0.000006,0.132500,0.000413,0.000005,0.000278,0.157653,0
29,0.013785,0.000032,0.000004,0.051171,0.000271,0.000004,0.000233,0.065501,0
12,0.016738,0.000040,0.000005,0.107610,0.000389,0.000005,0.022725,0.147522,0
33,0.011693,0.000033,0.000002,0.053918,0.000281,0.000004,0.000199,0.066132,0
13,0.017710,0.000055,0.000006,0.180883,0.000568,0.000016,0.004679,0.203929,0
13,0.019713,0.000043,0.000003,0.023333,0.000352,0.000006,0.000300,0.043754,0
30,0.010830,0.000036,0.000004,0.016918,0.000277,0.000004,0.000205,0.028277,0
14,0.016982,0.000058,0.000006,0.050657,0.000500,0.000009,0.002343,0.070566,0
13,0.017072,0.000038,0.000007,0.106134,0.000407,0.000006,0.000303,0.123970,0
34,0.010768,0.000038,0.000003,0.010895,0.000257,0.000004,0.000162,0.022129,0
11,0.018027,0.000060,0.000007,0.203042,0.000523,0.000008,0.015607,0.237285,0
11,0.023305,0.000090,0.000015,0.237771,0.000508,0.000013,0.016054,0.277769,0
14,0.011646,0.000046,0.000004,0.036373,0.000412,0.000007,0.000283,0.048776,0
12,0.013991,0.000061,0.000009,0.211704,0.000434,0.000009,0.002961,0.229178,0
31,0.011269,0.000029,0.000003,0.051526,0.000266,0.000004,0.000229,0.063328,0
35,0.007261,0.000034,0.000003,0.048603,0.000293,0.000004,0.000168,0.056369,0
12,0.017702,0.000051,0.000006,0.167738,0.000479,0.000007,0.003761,0.189755,0
14,0.015643,0.000091,0.000012,0.158841,0.000480,0.000010,0.002248,0.177336,0
13,0.020023,0.000060,0.000005,0.192823,0.000466,0.000011,0.003087,0.216485,0
32,0.010319,0.000030,0.000003,0.016365,0.000297,0.000005,0.000237,0.027258,0
12,0.020647,0.000051,0.000005,0.195739,0.000660,0.000013,0.000865,0.217987,0
